Title,Source,Location,Publisher Location,Date,Sentences,Relevant
Cashless 7 weeks give way to easier times [Kolkata],The Times of India,KOLKATA,New Delhi,2016-12-29,out black money. The crores of rupees seized in income tax raids are just the tip of the iceberg. Many have already stashes of new,0
The house doesn’t always win,The Hindu,Other States,Chennai,2016-12-29,"hesitated to say that his government relies on revenue from casinos, admitted recently that they were likely to get affected by the demonetisation decision. Goa's",0
Demonetisation to hit New Year Eve celebrations in Kolkata,IANS English,Kolkata,Noida,2016-12-30,"made before the surprise November 8 demonetisation. Recent RBI regulations on depositing new currency have sent officials at the event management company Actor Studio, which|made before the surprise November 8 demonetisation. Recent RBI regulations on depositing new currency have sent officials at the event management company Actor Studio, which",0
Tandon laundered money for the high and mighty: ED,DNA : Daily News & Analysis,NA,Mumbai,2016-12-30,"after the November 8 demonetization notification, Rs 13.53 crore in old and new currency was recovered from Tandon's south Delhi office. The agency further submitted",0
Make an informed choice on D-Street: Top sectors to track [News],The Economic Times,NA,New Delhi,2016-12-30,"the previous years.Various sectors that have done well in the past, are likely to be hit by the demonetisation move. But, there are still a",0
1000 raids in 50 days: Taxman monitoring deposits of Rs 2 lakh and above,The Hindustan Times,India,New Delhi,2016-12-30,"account holders in the 50 days of the demonetization drive, thousands more are likely to be sent in the next few weeks. ""We have lowered",0
Nomura cuts target price on Container Corporation shares [News],The Economic Times,MUMBAI,New Delhi,2016-12-30,"8.5%,"" said Nomura in a report. Nomura said core import volumes are likely to weaken further in the coming months due to demonetisation, which could",0
"P Chidambaram asks PM Modi to apologize before nation, says no guarantee that black money won't be found post note ban",Financial Express,NA,NEW DELHI,2016-12-30,the black money is completely curbed and bribes won't be taken in new currency notes. The senior Congress leader also stated that demonetisation depicts the,0
Demonetisation: Taxman launches raids in Zaveri Bazaar,Financial Express,NA,NEW DELHI,2016-12-30,"against black money hoarders, the Income Tax department has uncovered crores worth new notes in its country-wide drive since the demonetisation of high denomination Rs",0
"Apologise for demonetisation blunder in Dec 31 address, Kejriwal tells Modi",IANS English,Amritsar,Noida,2016-12-30,"demonetised money, the black money seized after demonetisation and printing of the new currency. ""As per the initial estimates of the RBI, a total of",0
"Mumbai: Rumours of ban on Rs2,000 notes a day before deadline ends",The Hindustan Times,Mumbai,New Delhi,2016-12-30,"sent people in some areas of Mumbai into a tizzy. The message: the government may ban the new 2,000 -rupee notes too. ""People came to",0
"On last day of Modi's 50-day grace period, cash woes continue",IANS English,New Delhi,Noida,2016-12-30,"Minister Modi's speech on the eve of New Year, durig which he is likely to spell out what next on demonetisation. ""Hope, he relaxes some",0
Siddaramaiah may write to PM Narendra Modi on note ban woes [Politics and Nation],The Economic Times,BENGALURU,New Delhi,2016-12-30,"Siddaramaiah is meeting the PM in New Delhi on Friday, and is likely to mention how demonetisation and the drought have been a double-whammy on",0
RR rates likely to remain steady in next fiscal year,The Hitavada,NA,NEW DELHI,2016-12-30,"a few months away, given the economic slump and demonetisation, RR rates are likely to remain steady in the new financial year.Sources claimed that demonetisation",0
Note ban foolish: Congman - Move has failed to fight black money: Ex-minister,The Telegraph (India),Guwahati,NEW DELHI,2016-12-30,"If the people have been able to convert their black money into new notes, then demonetisation has failed to achieve its objectives. Instead of going",0
Top BJP ministers highlight benefits of PM Modi's note ban before 50 days end,Free Press Journal,New Delhi,NEW DELHI,2016-12-30,"the cash with the people was accepted for exchanging it with the new currency notes. According to him, the real demonetisation will come on April",2
Real estate heads for subdued start,The Hindu,Business,Chennai,2016-12-30,"a fall-out of demonetisation, the first two quarters of the coming year were likely to witness a substantial slowdown in sales, said Shishir Baijal, Chairman",0
Kolkata: CM to resume monthly trips to 'politically significant' areas,Indian Express,NA,NEW DELHI,2016-12-30,"making news: Currently in the limelight for her fervent opposition of demonetisation, she is likely to visit Jhargram in January, and will most likely be",0
The pursuit of profit: Events to watch in 2017 [News],The Economic Times,NA,New Delhi,2016-12-30,"to prop up the economy after demonetisation. It is widely expected that the government may announce tax sops in the Union Budget to soothe public|led to a slowdown. To tide over the difficulties caused by demonetisation, the government may announce relief through tax reductions to both individuals and corporates.",0
Small scale businesses yet to recover from note ban blues [Nagpur],The Times of India,Nagpur,New Delhi,2016-12-30,"accessories store in Sadar was adversely affected by demonetization. ""People struggling for new currency are delaying their purchase, except for immediate and urgent needs. There",0
"Home sales, benami deals grind to a halt [Real Estate]",The Economic Times,MUMBAI|BENGALURU,New Delhi,2016-12-31,and prices correction following demonetisation. While the crackdown on Benami properties is likely to be fraught but authorities would look to match income levels with,0
"PM Narendra Modi New Year eve demonetisation speech: Where to watch, when to watch, what to expect on 31st December",Financial Express,NA,NEW DELHI,2016-12-31,speak about the road-map post the demonetisation period especially on the steps likely to be taken to ease cash flow that has been a major,0
Congress agitation against demonetisation on January 6 [Bhopal],The Times of India,BHOPAL,New Delhi,2016-12-31,"victims should be paid compensation,"" the Congress leader said. The party is likely to portray demonetisation as an ""economic anarchy"" resulting in long-term job losses",0
Few takers for cakes and fruits [Visakhapatnam],The Times of India,Visakhapatnam,New Delhi,2016-12-31,"1 every year. ""But this year, thanks to demonetisation, the business is likely to come down to nearly Rs 35 to 40 lakh,"" said a",0
Congress to begin nationwide campaign against demonetization from Jan 6: Sanjay Nirupam [India],The Times of India,VARANASI,New Delhi,2016-12-31,"an hefty amount of Rs. 24,000 crore was spent on printing of new currency notes. The demonetization also failed to put a check on corruption,",0
"Tax man watching even Rs 2L deposits, small accounts",The Hindustan Times,NEW DELHI,New Delhi,2016-12-31,"account holders in the 52 days of the demonetisation drive, thousands more are likely to be sent in the next few weeks. ""We have lowered",0
Note recall to be main theme at BJP meet in January first week [Politics and Nation],The Economic Times,NEW DELHI,New Delhi,2016-12-31,"as a referendum on the demonetisation move. With the Assembly election dates likely to be announced on January 4, all attention will be on how",0
Some respite for the environment?,The Hindu,Property Plus,Chennai,2016-12-31,"Everyone is talking money - demonetisation, political agenda, cash crunch, hoarding new currency, impacts on daily life, IT raids, eradicating black money and",0
"ATM withdrawal limit hiked to Rs 4,500/day by RBI",Financial Express,NA,NEW DELHI,2016-12-31,"bank account per week has not been revised, a fact that is likely to disappoint people. The Narendra Modi government's move to demonetise old Rs",0
"Year-end special: ELSS schemes are going to be volatile in 2017, says Sanjay Arora of Escorts MF [Analysis]",The Economic Times,NA,New Delhi,2016-12-31,"6.3 per cent, the best is behind you. Equities over the long term is likely to outperform other asset classes. Do you think demonetisation drive",0
"A year of success, consolidation for BJP (2016 in Retrospect)",IANS English,New Delhi,Noida,2016-12-31,"Uttar Pradesh, along with those in Punjab, Uttarakhand, Goa and Manipur, is likely to be seen as a kind of referendum on demonetisation. The impact",0
"ELSS schemes are going to be volatile in 2017, says Sanjay Arora of Escorts MF [Invest]",The Economic Times,NA,New Delhi,2016-12-31,"6.3 per cent, the best is behind you. Equities over the long term is likely to outperform other asset classes. Do you think demonetisation drive",0
Indian SME trends: The year gone by and 2017 [SME Sector],The Economic Times,NA,New Delhi,2016-12-31,year. Those who will survive the trenches of moves like demonetisation are most likely to witness a smoother course ahead. SME Trends in 2017 Rise,0
A mixed bag for real estate,The Hindu,Property Plus,Chennai,2016-12-31,"confidence, and encourage overall transparency & accountability. Shrinivas Rao The impact of demonetisation & relaxation in FDI regulations is likely to unfold by the next",0
"Note exchange deadline: Thin queues at banks,?ATMs still run dry",The Hindustan Times,India,New Delhi,2016-12-31,Sources say that restrictions on withdrawal of cash from banks and ATMs are likely to continue beyond December 30. After the demonetisation drive was announced,0
Hunger deaths cast shadow on roller-coaster year,The Hindu,Mumbai,Chennai,2016-12-31,"The impact of demonetisation on the farming sector had been drastic, but once again the negatives got overshadowed by the government's focus firmly shifted now",0
Opposition parties criticise Narendra Modi's address,Indian Express,NA,NEW DELHI,2017-01-01,"do with demonetisation. ""What was the purpose of today's speech? It is once again clear that he is scared of answering questions. We had raised",0
New Year bets under wraps,The Telegraph (India),Mumbai,NEW DELHI,2017-01-01,"where the impact of demonetisation can partly be felt. Its effect is likely to linger in the fourth quarter as well.""Earnings growth for the next|President and the demonetisation announcement on November 8.Analysts caution that 2017 is unlikely to be rosy, at least in the beginning, though a few optimists",0
"After a tepid 2016, will markets be on a roll in 2017?",Businessline,NA,Chennai,2017-01-01,are likely to see a pick-up in business activity. The market is likely to have priced in the negative impact of demonetisation and will track,0
Huge rise in e-shopping signals 'Digital India' making inroads,DNA. Sunday,New Delhi,Mumbai,2017-01-01,consulting firm RNCOS estimates that average wallet spends in retail transactions are likely to move from Rs 500-700 in 2016 prior to demonetization to Rs,0
2017: A new agenda for start-ups will get India to the 10% growth rate mark,Financial Express,NA,NEW DELHI,2017-01-02,in the US and the short term economic impact of India's demonetisation experiment-all likely to have an impact on the adoption of new ideas from,0
TN staring at economic uncertainty,The Hindu,Tamil Nadu,Chennai,2017-01-02,"the economic sphere. Poor monsoon, fall in agricultural output and demonetisation are likely to dent State's Own Revenues.Page 5",0
"4 tonnes of gold worth Rs 1,250 crore sold in just 2 days [The Times Of India]",The Times of India (Online),NA,New Delhi,2017-01-02,"over 400 jewellers surveyed across the country since demonetisation. The duty evasion is likely to touch Rs 100 crore once the scrutiny is completed, say",0
Ban that shocked one and all,The Hindustan Times,NEW DELHI,New Delhi,2017-01-02,"India's parallel economy. ""Its economics (demonetisation) is complex and the collateral damage is likely to far outstrip the benefits,"" former economic adviser to the finance",0
Cash crunch hits auto sales in Dec,Businessline,NA,Chennai,2017-01-02,Demand likely to pick up after 2-3 months Demand likely to pick up after 2-3 months The impact of demonetisation drive clearly,0
Panchkula Extension: Real estate market yet to pick up in this pocket,Indian Express,NA,NEW DELHI,2017-01-02,"the heat due to sluggish market. As per real estate dealers, the situation is likely to remain dismal in the coming months due to demonetisation.",0
"4 tonnes of gold worth Rs 1,250 crore sold in just 2 days [The Times Of India]",The Times of India (Online),NA,New Delhi,2017-01-02,"over 400 jewellers surveyed across the country since demonetisation. The duty evasion is likely to touch Rs 100 crore once the scrutiny is completed, say",0
4 tonnes of gold sold in 48hrs after Nov 8 [India],The Times of India,NEW DELHI,New Delhi,2017-01-02,"bullion traders surveyed across the country since demonetisation. The evaded duty is likely to touch Rs 100 crore once the scrutiny is completed, officials said.",0
"Rs 1,250cr gold sold in 48 hrs after Nov 8 [Times Nation | Black Out?]",The Times of India (Online),NA,New Delhi,2017-01-02,"400 jewellers surveyed across the country since demonetisation. The duty evasion is likely to touch Rs 100 crore once the scrutiny is completed, say officials.",0
"Gold worth Rs 1,250cr sold in just 2 days [The Times Of India]",The Times of India (Online),NA,New Delhi,2017-01-02,"400 jewellers surveyed across the country since demonetisation. The duty evasion is likely to touch Rs 100 crore once the scrutiny is completed, say officials.",0
Central excise duty evasion may touch Rs 100cr [Times Nation | Pariwar],The Times of India (Online),NA,New Delhi,2017-01-02,"over 400 jewellers surveyed across the country since demonetisation. The duty evasion is likely to touch Rs 100 crore once the scrutiny is completed, say",0
Tamil Nadu staring at economic uncertainty,The Hindu,Tamil Nadu,Chennai,2017-01-02,"quicker, and in real effect, the negative impact of the demonetisation is likely to be less for Tamil Nadu, compared to many others. Poor monsoon,|compared to many others. Poor monsoon, fall in agricultural output and demonetisation likely to dent State's Own Revenues Credit: T. Ramakrishnan",0
4 tonnes gold was mopped up in 48hrs [Times Nation],The Times of India (Online),NA,New Delhi,2017-01-02,"and bullion traders surveyed across the country since demonetisation. The duty evasion is likely to touch Rs 100 crore once the scrutiny is completed, officials",0
"4 tonnes of gold worth Rs 1,250 crore sold in 2 days [The Times Of India]",The Times of India (Online),NA,New Delhi,2017-01-02,"400 jewellers surveyed across the country since demonetisation. The duty evasion is likely to touch Rs 100 crore once the scrutiny is completed, say officials.",0
"First half seen volatile, Nifty may peak later",DNA : Daily News & Analysis,Market in 2016,Mumbai,2017-01-02,pace of economic recovery post demonetization. The focus of the Budget is likely to be on enhancing expenditure in priority areas of - farm and,0
Four tonnes of gold sold in 48 hours [Times Nation],The Times of India (Online),NA,New Delhi,2017-01-02,"and bullion traders surveyed across the country since demonetisation. The evaded duty is likely to touch Rs 100 crore once the scrutiny is completed, officials",0
"What happened on Nov 8, before Modi announced note ban",The Hindustan Times,India,New Delhi,2017-01-02,"India's parallel economy. ""Its economics (demonetisation) is complex and the collateral damage is likely to far outstrip the benefits,"" former economic adviser to the finance",0
SBI to soon relook at the deposit rates: Arundhati Bhattacharya,IANS English,Mumbai,Noida,2017-01-02,"of cash deposited in the banks, as a result of demonetisation, is likely to flow out. She said banks, indeed, have huge low-cost funds driven",0
New Year unlikely to bring cheer to investors [Times Personal Finance],The Times of India (Online),NA,New Delhi,2017-01-02,"hit due to demonetisation, banking and financial services have benefitted. Banks are likely to be the real winners because money is now flowing into banks,",0
City jeweller's sales recorded 5-fold jump on note-ban day [The Times Of India],The Times of India (Online),New Delhi,New Delhi,2017-01-02,"over 400 jewellers surveyed across the country since demonetisation. The duty evasion is likely to touch '100 crore once the scrutiny is completed, say officials.",0
Central excise duty evasion may touch Rs 100cr [Times Nation | Pariwar],The Times of India (Online),NA,New Delhi,2017-01-02,"over 400 jewellers surveyed across the country since demonetisation. The duty evasion is likely to touch Rs 100 crore once the scrutiny is completed, say",0
4 tonnes of gold sold in 48 hours after November 8 [Politics and Nation],The Economic Times,NEW DELHI,New Delhi,2017-01-03,"bullion traders surveyed across the country since demonetisation. The evaded duty is likely to touch Rs 100 crore once the scrutiny is completed, officials said.",0
"Globally and locally, there are challenges in 2017: Montek Singh Ahluwalia [Interview One on One]",ET Now,NA,New Delhi,2017-01-03,into account the impact of the demonetisation. But you know it is quite possible that at that point they did not realise how disruptive it,0
Partial normalcy expected in banking sector by Feb-end: SBI chairperson,Free Press Journal,NA,NEW DELHI,2017-01-03,"denominations."" The bank witnessed 70 per cent in the deposit of the new notes, before end of demonetisation. ""This means that new notes have gone|deposit of the new notes, before end of demonetisation. ""This means that new notes have gone back to circulation. So, there will be 100 per",0
"More partner countries, delegates in this year's Vibrant Summit: Gujarat CM Vijay Rupani",Indian Express,NA,NEW DELHI,2017-01-03,"Modi. Watch What Else Is Making News The spectre of demonetisation is likely to be over the VGGS, though officials of the Gujarat government, in",0
"Soon, a Gujarati movie on note ban [Times City]",The Times of India (Online),NA,New Delhi,2017-01-03,"week, focusses on demonetization. For film's producer Kirti Patel, this subject is likely to catch everybody's imagination because every citizen has been affected by the",0
"Good prices and good news don't come together: Kunj Bansal, Centrum Wealth Management [Personal Finance News]",The Economic Times,NA,New Delhi,2017-01-03,been worst affected by the demonetisation. On one hand the government is likely to focus on schemes which will leave higher disposable income in the,0
Power tariff may go up by 5%,The Hindu,Kerala,Chennai,2017-01-03,"hard to recover from the revenue loss incurred by demonetisation and is unlikely to come forward with a subsidy proposal for any section, sources said.",0
"'Globally and locally, there are challenges in 2017' [Evening Brief - Markets]",ET Now,NA,New Delhi,2017-01-03,into account the impact of the demonetisation. But you know it is quite possible that at that point they did not realise how disruptive it,0
A huge rise in uncertainty,Mint,New Delhi,New Delhi,2017-01-04,that purged 86% of cash with the public. The index for December is likely to reflect the uncertainty in the wake of demonetisation but as,0
View: This year could see the advent of a credible national challenger to Modi [Politics and Nation],The Economic Times,NA,New Delhi,2017-01-04,"the election code of conduct sets in, is inadequate to soothe demonetisation's wounds. Public ire over demonetisation is unlikely to recede before UP elections, nor",0
32 demonetisation violation cases lodged till date: CBI,IANS English,New Delhi,Noida,2017-01-04,"charged with illegally exchanging old Rs 500 and Rs 1,000 notes into new currency after Prime Minister Narendra Modi's demonetisation announcement on November 8. ""We",0
HOTELS PREPARE FOR LOWER OCCUPANCY IN MONTHS AHEAD,India Business Insight,NA,Bangalore,2017-01-04,occupancies in the months ahead as declining economic activity post- demonetisation is likely to impact both business and leisure travel. Hotel companies have started initiating,0
"Pravasi Bharatiya Divas 2017: Take steps to blunt note ban impact, Karnataka tells foreign ministry [Other News]",The Times of India,BENGALURU,New Delhi,2017-01-04,"meeting between all stakeholders. ""On January 5, at the meeting, we will once again put forth our request to ensure that the demonetisation advisory is",0
Government has virtually taken over RBI's functions: Chidambaram,IANS English,New Delhi,Noida,2017-01-04,"said that RBI Governor Urjit Patel has not given details of the new currency being pushed into the system, which shows ""that demonetisation was poorly",0
PRAVASI DIVAS - Karnataka asks MEA to issue advisory on demonetization [Times City / State],The Times of India (Online),NA,New Delhi,2017-01-04,"benefit of the delegates. ""On January 5, at the meeting, we will once again put forth our request to ensure that the demonetization advisory is",0
Budget 2017: Income Tax incentives likely to offset demonetisation pain,Financial Express,NA,NEW DELHI,2017-01-04,"the launch of the demonetisation exercise. Following this, in Budget 2017, the government may announce a string of measures to take India on the path",0
"Another dismal quarter in the offing for telecom, says Kotak report [Indicators]",The Economic Times,MUMBAI,New Delhi,2017-01-04,"of negatives in the form of demonetization and Jio's free services is likely to result in fairly dismal 3QFY17 earnings prints for Bharti and Idea,",0
"Despite Uncertainties, Brokerages Positive on India [ET Markets]",The Economic Times (Online),NA,New Delhi,2017-01-04,"is likely to depreciate by 2-3% against the US dollar. India's growth recovery is likely to disappoint expectations, especially in the backdrop of demonetisation. UBS",0
"Oil price will hover in $50-$60 range: Rupa Rege Nitsure, L&amp;T Financial Services [Expert View]",ET Now,NA,New Delhi,2017-01-04,will have to finetune it with new reality created by demonetisation. They are unlikely to rush into it immediately. They will start implementing it from,0
"Soon, a Gujarati movie on note ban [Ahmedabad]",The Times of India,AHMEDABAD,New Delhi,2017-01-04,"week, focusses on demonetization. For film's producer Kirti Patel, this subject is likely to catch everybody's imagination because every citizen has been affected by the",0
"Noida, Gzb go to poll on Feb 11 [Times City]",The Times of India (Online),NA,New Delhi,2017-01-05,"The impact of demonetisation, law and order, and infrastructure development are likely to be the major factors on top of the mind of voters",0
Pravasi divas- Karnataka asks ministry of external affairs to issue advisory on demonetisation [Bengaluru],The Times of India,BENGALURU,New Delhi,2017-01-05,"benefit of the delegates. ""On January 5, at the meeting, we will once again put forth our request to ensure that the demonetization advisory is",0
"2017 outlook: Despite uncertainties, foreign brokerages positive on India [News]",The Economic Times,Mumbai,New Delhi,2017-01-05,"likely to depreciate by 2-3% against the US dollar. India's growth recovery is likely to disappoint expectations, especially in the backdrop of demonetisation. UBS expects",0
Demonetization: Diamond traders burn PM's effigy [Surat],The Times of India,Surat,New Delhi,2017-01-05,"Surat: Angry over severe liquidity crisis and the shortage of new currency in banks even 55 days after demonetization, the diamond traders at",0
Bonhomie between Narendra Modi and Nitish Kumar in Patna: 'The Times They Are A-Changin'?,Financial Express,NA,NEW DELHI,2017-01-05,"of practising ""political untouchability"". But ever-changing political landscape of the country has once again brought them together! Following demonetisation when a united opposition was training",0
RBI to provide INR 1 billion in 100-rupee banknotes,Himalayan Times,Kathmandu,NEW DELHI,2017-01-05,"year (based on Indian fiscal year calendar) but this year Nepal is unlikely to get this facility due to the demonetisation, according to Adhikari. ""NRB",0
PM Narendra Modi's effigy burnt by diamond traders in Surat [Surat],The Times of India,SURAT,New Delhi,2017-01-05,Minister Narendra Modi to protest the liquidity crisis and the shortage of new currency even after 55 days of demonetisation here on Wednesday. A large,0
RENTAL DEMAND MAY RISE POST CURRENCY BAN,India Business Insight,NA,Bangalore,2017-01-05,"Demonetisation has not impacted rental market and rental demand is likely to increase post demonetisation. Residential markets in Delhi, Bengaluru, Mumbai, Pune and",0
"Advance Outlook for 2016-17 to Discount Impact of Note Ban [Economy: Macro, Micro &amp; More]",The Economic Times (Online),NA,New Delhi,2017-01-05,"estimates for fiscal 2016-17, which will be released on January 6, are unlikely to capture the impact of the government's demonetisation drive as they will",0
MP farmers get 'genuine' Rs 2000 notes sans image of Mahatma Gandhi [India],The Times of India,BHOPAL,New Delhi,2017-01-05,"bank notes replaced all previous currency as legal tender. Post demonetisation, the new notes that have been printed were christened as the 'Mahatma Gandhi New",0
"Growth Estimates to Miss Note Ban Blow [Economy: Macro, Micro &amp; More]",The Economic Times (Online),NA,New Delhi,2017-01-05,"estimates for fiscal 2016-17, which will be released on January 6, are unlikely to capture the impact of the government's demonetisation drive as they will",0
Impact of note ban unlikely to show in advance GDP estimates [Policy],The Economic Times,NEW DELHI,New Delhi,2017-01-05,"growth estimates for 2016-17, which will be released on January 6, are unlikely to capture impact of the demonetisation drive as they will be based",0
Bapu missing from 'genuine' Rs 2k notes [The Times Of India],The Times of India (Online),NA,New Delhi,2017-01-05,"of bank notes replaced all previous currency as legal tender. After demonetisation, the new notes printed were christened the 'Mahatma Gandhi New Series'. This series",0
BJP National Executive meet in Delhi from Friday,IANS English,New Delhi,Noida,2017-01-05,"discuss the assembly elections. Party sources said the Uttar Pradesh elections are likely to take centrestage at the meeting, apart from demonetisation and surgical strikes|the meeting after 5 p.m., the sources said. They said the economic resolution is likely to focus on demonetisation and black money and condemn the|Party and the Trinamool Congress in opposing the November 8 demonetisation. It is also likely to endorse the Modi government's endeavours for the betterment of",0
Note-ban unlikely to hit Q3 hard,Businessline,NA,Chennai,2017-01-05,"cushion negative fallout Any fallout of demonetisation on third quarter earnings is likely to be cushioned by the positive impact of a good monsoon, Seventh",0
'Bapu' goes missing from 'genuine' Rs 2k notes' bundle [The Times Of India],The Times of India (Online),NA,New Delhi,2017-01-05,"'Gandhi Series' of bank notes replaced all previous currency as legal tender.Post demonetisation, the new notes that have been printed were christened as the 'Mahatma",0
"Sensex ends near 2-month high; metal, infrastructure stocks spurt",Businessline,NA,Chennai,2017-01-05,"economy. “The budget is expected to be fiscally disciplined, with hopes that the government may take measures to boost economic recovery post the demonetisation impact,”",0
"'Gandhi' missing from Rs 2,000 notes [The Times Of India]",The Times of India (Online),NA,New Delhi,2017-01-05,"the 'Gandhi Series' replaced all previous currency as legal tender. Post demonetisation, the new notes being printed have been christened as the 'Mahatma Gandhi New",0
TWO-WHEELERS FAIL TO KEEP PACE - Auto Sector Skirts Demonetisation's Deepest Fears [ET Markets],The Economic Times (Online),NA,New Delhi,2017-01-05,"in demand post the November demonetisation, are warming up to the sector once again. The drop in sales volumes in the past two months had",0
"Surat's gems, jewellery show reels under demonetization impact [Surat]",The Times of India,Surat,New Delhi,2017-01-05,"backed out this time, believing that impact of demonetization and shortage of new currency in the market won't generate business for them. The event, which",0
"Demonetisation shocker: Now, Mahatma Gandhi goes missing from RBI's new Rs 2000 notes",Financial Express,NA,NEW DELHI,2017-01-05,"for probe, the report said. Following Prime Minister Narendra Modi's demonetisation move, new notes of Rs 500 and Rs 2000 were introduced. Initially, there was",0
Bapu goes missing from a bundle of 'genuine' Rs 2k notes [The Times Of India],The Times of India (Online),NA,New Delhi,2017-01-05,"the 'Gandhi Series' replaced all previous currency as legal tender. Post demonetisation, the new notes being printed have been christened as the 'Mahatma Gandhi New",0
Bapu goes missing from 'genuine' Rs 2k notes [The Times Of India],The Times of India (Online),NA,New Delhi,2017-01-05,"the 'Gandhi Series' replaced all previous currency as legal tender. Post demonetisation, the new notes being printed have been christened as the 'Mahatma Gandhi New",0
Staffers cheat diamond firm of Rs 100 crore [Surat],The Times of India,Surat,New Delhi,2017-01-05,"is reeling under severe liquidity crisis due to demonetization and shortage of new currency notes. The employees, who include a lady accountant and head of",0
Note-ban Impact will not Show in Advance Estimates [Companies: Pursuit Of Profit],The Economic Times (Online),NA,New Delhi,2017-01-05,"estimates for fiscal 2016-17, which will be released on January 6, are unlikely to capture the impact of the government's demonetisation drive as they will",0
'Gandhi' goes missing from a bundle of 'genuine' Rs 2k notes [The Times Of India],The Times of India (Online),Bhopal,New Delhi,2017-01-05,"Series' of bank notes replaced all previous currency as legal tender.Post demonetisation, the new notes that have been printed were christened as the 'Mahatma Gandhi",0
"Impact of Note Ban Unlikely to Show in Advance GDP Estimates [Economy: Macro, Micro &amp; More]",The Economic Times (Online),NA,New Delhi,2017-01-05,"growth estimates for 2016-17, which will be released on January 6, are unlikely to capture impact of the demonetisation drive as they will be based",0
"MP farmers get 'genuine' Rs 2,000 notes sans image of Mahatma Gandhi [Personal Finance News]",The Economic Times,BHOPAL,New Delhi,2017-01-06,"bank notes replaced all previous currency as legal tender. Post demonetisation, the new notes that have been printed were christened as the 'Mahatma Gandhi New",0
Auto sector skirts demonetisation's deepest fears [News],The Economic Times,MUMBAI,New Delhi,2017-01-06,"in demand post the November demonetisation, are warming up to the sector once again. The drop in sales volumes in the past two months has",0
"Dabhoi resident nabbed with fake notes, marksheets [Vadodara]",The Times of India,Vadodara,New Delhi,2017-01-06,"notes and used them for buying things. After demonetization and introduction of new notes, most people didn't check whether the old notes of smaller denomination",0
"In 2017, politics must go beyond sharp slogans and shrill rhetoric",The Hindustan Times,India,New Delhi,2017-01-06,"one. Indian democracy is in perpetual garrulous mode. Read | After note ban, India likely to see 7% growth in first half of FY 18",0
RBI to give Nepal Rs 1 bn in 100-rupee notes,IANS English,Kathmandu,Noida,2017-01-06,"year (based on Indian fiscal year calendar) but this year Nepal is unlikely to get this facility due to the demonetisation move, said Adhikari. ""NRB",0
"Noida, Ghaziabad go to poll on February 11 [Noida]",The Times of India,GHAZIABAD,New Delhi,2017-01-06,"GHAZIABAD: The impact of demonetisation, law and order, and infrastructure development are likely to be the major factors on top of the mind of voters",0
Earnings Preview - Nifty 50's Aggregate Revenue Expected to Grow 7.6% in Q3 [ET Markets],The Economic Times (Online),NA,New Delhi,2017-01-06,of price control along with demonetisation on the domestic business. Regulatory clamps is likely to continue to impact the performance of companies such as Sun,0
"Law & order, infra development and demonetisation crucial to poll outcome in NCR [Noida]",The Times of India,GHAZIABAD,New Delhi,2017-01-06,"GHAZIABAD: The impact of demonetisation, law and order, and infrastructure development are likely to be the major factors on top of the mind of voters",0
MP farmers get 'genuine' Rs 2000 notes sans image of Mahatma Gandhi [Politics and Nation],The Economic Times,BHOPAL,New Delhi,2017-01-06,"bank notes replaced all previous currency as legal tender. Post demonetisation, the new notes that have been printed were christened as the 'Mahatma Gandhi New",0
"Happy days ahead! Cash crunch may ease by Feb-end, says SBI report [Finance]",The Economic Times,MUMBAI,New Delhi,2017-01-06,"replaced as much as 44% of the currency extinguished by demonetisation with new notes by December 30, according to a State Bank of India report.",0
BIG CASH DEPOSITS - More arrests likely at two Surat banks [Times City],The Times of India (Online),NA,New Delhi,2017-01-06,"crore in 230 bank accounts in Surat, post demonetization. The agency is likely to arrest Maharshi Chokkas and Himanshu Shah in another case of high-value",0
Hurried task leaves locals out of process [Civic],Pune Mirror,By,New Delhi,2017-01-06,"time in hand and the five-year plan was also coming to an end. It is possible that we got poor responses due to demonetisation.""",0
"Demonetisation impact: After note ban hit, Kotak says tread carefully on consumer products",Financial Express,NA,NEW DELHI,2017-01-06,"We expect aggregate revenues to decline marginally while EBITDA/PAT is likely to decline 5-6% year-on-year impacted by demonetisation. We expect discretionary companies (jewelry,",0
GDP growth expected to slip to 3-year low of 7.1% [The Times Of India],The Times of India (Online),New Delhi,New Delhi,2017-01-07,"Friday do not take into account the impact of demonetisation, which is likely to pare GDP growth further. The CSO has released the GDP growth",0
April-December steel production grows 10.5%; comapnies look beyond domestic market for sale,Financial Express,NA,NEW DELHI,2017-01-07,"but it got further affected due to demonetisation. However, they said things are likely to improve in the coming months as people start spending on",0
When banks are awash with cash,The Hindu,Opinion,Chennai,2017-01-07,"firms are so impressed with the potential of the demonetisation, they are unlikely to unburden the banks of the deposits that have so copiously flowed",0
Nifty50's aggregate revenue expected to grow 7.6% in Q3 [News],The Economic Times,NA,New Delhi,2017-01-07,of price control along with demonetisation on the domestic business. Regulatory clamps is likely to continue to impact the performance of companies such as Sun,0
GDP growth expected to slip to 3-year low of 7.1% in 2016-17 [The Times Of India],The Times of India (Online),NA,New Delhi,2017-01-07,"Friday do not take into account the impact of demonetization, which is likely to pare GDP growth further. The Central Statistical Office has released the",0
